s,x,y,tx,ty
2.821076,6.180000,12.780000,-1.000000,0.000000
2.841076,6.160000,12.780000,-1.000000,0.000000
2.861076,6.140000,12.780000,-1.000000,0.000000
2.881076,6.120000,12.780000,-1.000000,0.000000
2.901076,6.100000,12.780000,-1.000000,0.000000
2.921076,6.080000,12.780000,-1.000000,0.000000
2.941076,6.060000,12.780000,-1.000000,0.000000
2.961076,6.040000,12.780000,-1.000000,0.000000
2.981076,6.020000,12.780000,-1.000000,0.000000
3.001076,6.000000,12.780000,-0.948683,0.316228
3.029361,5.980000,12.800000,-0.948683,0.316228
3.049361,5.960000,12.800000,-1.000000,0.000000
3.069361,5.940000,12.800000,-1.000000,0.000000
3.089361,5.920000,12.800000,-1.000000,0.000000
3.109361,5.900000,12.800000,-1.000000,-0.000000
3.129361,5.880000,12.800000,-1.000000,0.000000
3.149361,5.860000,12.800000,-1.000000,0.000000
3.169361,5.840000,12.800000,-1.000000,0.000000
3.189361,5.820000,12.800000,-1.000000,-0.000000
3.209361,5.800000,12.800000,-1.000000,0.000000
3.229361,5.780000,12.800000,-0.948683,0.316228
3.257645,5.760000,12.820000,-0.948683,0.316228
3.277645,5.740000,12.820000,-1.000000,-0.000000
3.297645,5.720000,12.820000,-1.000000,0.000000
3.317645,5.700000,12.820000,-1.000000,0.000000
3.337645,5.680000,12.820000,-1.000000,0.000000
3.357645,5.660000,12.820000,-1.000000,-0.000000
3.377645,5.640000,12.820000,-1.000000,0.000000
3.397645,5.620000,12.820000,-1.000000,0.000000
3.417645,5.600000,12.820000,-1.000000,0.000000
3.437645,5.580000,12.820000,-1.000000,-0.000000
3.457645,5.560000,12.820000,-1.000000,0.000000
3.477645,5.540000,12.820000,-0.948683,0.316228
3.505929,5.520000,12.840000,-0.948683,0.316228
3.525929,5.500000,12.840000,-1.000000,-0.000000
3.545929,5.480000,12.840000,-1.000000,0.000000
3.565929,5.460000,12.840000,-1.000000,0.000000
3.585929,5.440000,12.840000,-1.000000,0.000000
3.605929,5.420000,12.840000,-1.000000,0.000000
3.625929,5.400000,12.840000,-1.000000,-0.000000
3.645929,5.380000,12.840000,-1.000000,0.000000
3.665929,5.360000,12.840000,-1.000000,0.000000
3.685929,5.340000,12.840000,-1.000000,0.000000
3.705929,5.320000,12.840000,-0.948683,0.316228
3.734214,5.300000,12.860000,-0.948683,0.316228
3.754214,5.280000,12.860000,-1.000000,-0.000000
3.774214,5.260000,12.860000,-1.000000,0.000000
3.794214,5.240000,12.860000,-1.000000,-0.000000
3.814214,5.220000,12.860000,-1.000000,0.000000
3.834214,5.200000,12.860000,-1.000000,-0.000000
3.854214,5.180000,12.860000,-1.000000,0.000000
3.874214,5.160000,12.860000,-1.000000,-0.000000
3.894214,5.140000,12.860000,-1.000000,0.000000
3.914214,5.120000,12.860000,-1.000000,-0.000000
